1242	1194	1
1040	1139	1
1096	1187	1
1217	1208	1
1279	1253	1
1197	1082	1
1276	1040	1
1030	1010	1
1037	1127	1
1259	1235	1
1040	1261	1
1139	1261	1
1235	1276	1
1194	1204	1
1237	1010	1
1060	1040	1
1291	1040	1
1065	1267	1
1264	1042	1
1042	1253	1
1276	1036	1
1135	1030	1
1267	1065	1
1237	1030	1
1036	1139	1
1242	1082	1
1042	1104	1
1010	1263	1
1279	1042	1
1211	1042	1
1253	1264	1
1221	1082	1
1040	1291	1
1082	1242	1
1261	1235	1
1010	1237	1
1139	1259	1
1060	1037	1
1208	1217	1
1253	1223	1
1036	1276	1
1022	1139	1
1253	1042	1
1139	1235	1
1109	1065	1
1235	1022	1
1264	1013	1
1209	1028	1
1139	1036	1
1036	1261	1
1060	1261	1
1022	1036	1
1235	1036	1
1261	1040	1
1040	1036	1
